Sales,TV,Newspaper,Radio,Internet
72153.81,748.18,672.18,771.18,576.18
64365.38,557.18,472.18,251.18,244.18
71182.96,162.94,184.94,213.94,159.94
65104.31,730.06,642.06,948.06,867.06
42331.75,799.24,591.24,630.24,583.24
70409.24,319.82,362.82,427.82,434.82
44802.4,976.59,803.59,611.59,791.59
39995.46,549.76,361.76,653.76,531.76
57154.88,548.82,327.82,401.82,459.82
72739.76,900.12,628.12,770.12,529.12
70187.56,628.41,516.41,552.41,469.41
49504.53,474.06,319.06,462.06,362.06
68837.21,465.65,531.65,577.65,517.65
70649.62,492.65,227.65,213.65,373.65
62739.63,811.18,619.18,680.18,624.18
56116,736.47,672.47,527.47,580.47
71497.5,492.18,322.18,569.18,547.18
62053.46,563.76,315.76,347.76,394.76
67392.91,418.94,278.94,534.94,150.94
59675.93,902.24,572.24,651.24,781.24
55978.01,889.94,638.94,710.94,511.94
44040.26,497.82,301.82,310.82,238.82
49049.53,460.82,114.82,170.82,368.82
67764.12,515.35,387.35,767.35,577.35
58684.93,970.35,590.35,733.35,602.35
69871.51,936.76,474.76,524.76,472.76
61097.68,699.06,460.06,372.06,531.06
68593.85,701,475,587,719
41631.74,741,760,871,735
61300.06,592.88,355.88,355.88,243.88
45786.38,529.53,550.53,808.53,663.53
42184.68,481.76,206.76,245.76,241.76
46079.63,867.18,547.18,819.18,723.18
67104.32,911,644,596,755
63216.21,369.71,261.71,536.71,482.71
69357.54,816.82,711.82,759.82,813.82
39241.6,884.47,789.47,668.47,792.47
58706.12,729.65,545.65,748.65,616.65
73082.4,700.65,337.65,701.65,647.65
43935.63,864.24,483.24,534.24,749.24
68707.15,837.12,595.12,823.12,794.12
43864.71,594.12,264.12,611.12,259.12
50578.19,641.71,424.71,466.71,374.71
68938.81,570.82,598.82,772.82,649.82
63795.32,380.18,258.18,412.18,267.18
42179.65,604.59,653.59,620.59,487.59
73275.87,544,293,364,276
73917.16,533.59,290.59,661.59,517.59
73914.54,931.65,787.65,881.65,819.65
63974.91,869.12,483.12,647.12,697.12
72937.16,748.82,640.82,749.82,765.82
55220.94,389.53,161.53,457.53,299.53
53074.44,603.41,506.41,431.41,356.41
68519.97,508.94,100.94,270.94,117.94
71567.06,612.41,366.41,576.41,206.41
63368.99,515.47,278.47,359.47,171.47
42476.26,744.65,668.65,568.65,731.65
39890.01,534,274,275,325
74747.71,496.65,589.65,726.65,580.65
55813,684.47,610.47,457.47,687.47
66441.37,469.24,294.24,385.24,564.24
68615.59,274.18,434.18,593.18,262.18
52261.96,788.59,531.59,575.59,525.59
69102.76,237.24,144.24,210.24,260.24
50807.5,562.65,255.65,365.65,197.65
75164.5,570.76,404.76,741.76,545.76
38561.03,989.88,705.88,931.88,734.88
55744.46,194.47,126.47,212.47,266.47
72723.13,580.94,607.94,762.94,681.94
51348.4,587.94,563.94,470.94,536.94
56759.56,882.65,570.65,779.65,614.65
49440.4,521.82,463.82,717.82,339.82
60171.4,817.94,875.94,683.94,660.94
65703.5,797.59,611.59,749.59,567.59
71631.85,660.12,561.12,799.12,777.12
57727.46,492.18,164.18,258.18,81.18
64118.26,588.12,193.12,530.12,494.12
57630.01,178.06,224.06,303.06,375.06
73585.72,765.59,609.59,702.59,774.59
59258.13,862.35,612.35,805.35,521.35
58145.32,462.47,386.47,496.47,687.47
61173.91,364.24,379.24,438.24,327.24
66066.74,929.47,806.47,682.47,713.47
61427.9,644.94,253.94,565.94,476.94
63132.06,968.76,552.76,621.76,628.76
48594.59,803.82,502.82,505.82,584.82
49898.47,845.82,546.82,889.82,520.82
54140.16,680.18,737.18,879.18,753.18
41772.68,813.29,776.29,906.29,616.29
49674.93,778.65,380.65,517.65,382.65
66793.18,337.94,481.94,430.94,323.94
38418.69,727.76,533.76,487.76,336.76
38498.78,660.82,624.82,739.82,601.82
63953.84,412.94,503.94,469.94,340.94
49784.66,915.24,502.24,849.24,672.24
72170.68,344.59,448.59,261.59,211.59
66460.34,851.47,651.47,564.47,621.47
38851.84,636.41,228.41,302.41,482.41
51570.29,297.47,368.47,561.47,384.47
55841.19,947.59,811.59,665.59,879.59
47791.29,332.06,409.06,372.06,206.06
43909.81,748.24,431.24,523.24,438.24
40522.28,823.24,495.24,573.24,489.24
43892.75,871.65,873.65,640.65,905.65
50848.97,299.65,210.65,276.65,234.65
42251.81,443.53,281.53,427.53,361.53
38894.97,387.35,202.35,412.35,206.35
72591.74,459.82,251.82,170.82,91.82
73810.76,632.47,599.47,410.47,437.47
42666.97,872.94,496.94,792.94,569.94
43167.41,533.94,476.94,567.94,403.94
62285.29,792.47,363.47,551.47,357.47
39547.78,780.35,470.35,577.35,431.35
74121.21,319.65,317.65,449.65,382.65
39121.43,1047.59,776.59,950.59,580.59
43191.46,276.59,403.59,255.59,229.59
70848.32,618.94,550.94,551.94,511.94
44400.69,744.35,580.35,694.35,508.35
42483.44,277.53,350.53,378.53,421.53
49081.28,263.29,249.29,255.29,314.29
71943.09,579.94,223.94,558.94,399.94
39807.09,579.29,320.29,601.29,538.29
37902.47,927.53,457.53,737.53,617.53
43121.96,520.29,386.29,484.29,512.29
47909.4,693.94,614.94,542.94,499.94
39216.97,683.29,459.29,505.29,416.29
39774.03,497.06,174.06,214.06,150.06
74198.12,407.41,547.41,692.41,611.41
68542.85,530,90,158,336
48324.51,697.12,726.12,593.12,746.12
49264.69,938.29,653.29,793.29,816.29
56993.96,793.47,414.47,603.47,514.47
58938.78,861.82,595.82,668.82,614.82
69924.22,402.88,230.88,274.88,257.88
40061.93,436.82,459.82,436.82,568.82
74429.85,873.59,686.59,528.59,738.59
60363.81,753.53,325.53,704.53,506.53
64058.72,397.29,509.29,465.29,374.29
63633.26,736.06,464.06,730.06,513.06
39589.62,500.06,492.06,629.06,469.06
60363.12,685.82,437.82,517.82,554.82
63933.54,880.76,735.76,658.76,642.76
40334.01,705.65,608.65,618.65,645.65
50957.65,894.88,600.88,511.88,571.88
73343.79,301.24,235.24,463.24,135.24
44371.5,805.76,439.76,552.76,578.76
62131.01,656.06,385.06,301.06,250.06
52324.66,274.53,344.53,454.53,233.53
54043.29,483.65,301.65,239.65,386.65
43713.19,297.94,474.94,579.94,304.94
45360.99,690.65,489.65,331.65,520.65
67065.34,355.47,187.47,494.47,254.47
44408.46,760.18,571.18,618.18,784.18
46605.49,255.35,203.35,310.35,320.35
69213.31,866.59,634.59,613.59,549.59
41628.44,664.47,444.47,684.47,413.47
37652.9,529.18,493.18,837.18,608.18
62280.74,566.12,429.12,684.12,544.12
67572.68,353.41,137.41,515.41,199.41
52961.82,555.41,231.41,564.41,373.41
40375.43,365.12,408.12,484.12,500.12
62833.93,321.58,182.58,441.58,392.58
72229.12,1009,768,918,562
42234.94,770.94,642.94,872.94,600.94
71041.43,682.12,570.12,879.12,494.12
72478.03,716.12,503.12,494.12,605.12
51520.57,607.29,508.29,622.29,451.29
51447.07,1071.71,624.71,681.71,791.71
51069.99,651.06,399.06,366.06,539.06
56361.53,950.35,502.35,733.35,770.35
41955.75,722.53,765.53,805.53,696.53
54894.6,923.76,595.76,813.76,733.76
46462.85,317.47,455.47,418.47,374.47
38065.06,536.59,300.59,521.59,307.59
47174.46,327.47,295.47,242.47,229.47
69868.63,936.65,654.65,886.65,845.65
71948.32,456.76,269.76,449.76,323.76
52381.06,859,544,527,717
73325.74,584.76,622.76,710.76,408.76
41665.9,849.29,588.29,679.29,661.29
66462.07,494.65,447.65,629.65,596.65
45587.01,432.29,495.29,387.29,363.29
43659.57,423.24,255.24,591.24,550.24
74712.75,294.76,345.76,524.76,496.76
45559,672,560,572,671
38550.16,865.65,574.65,625.65,825.65
54479.47,706.29,801.29,728.29,755.29
71461.03,580.47,506.47,554.47,527.47
56392.04,610.12,454.12,471.12,594.12
59692.65,487.65,509.65,497.65,577.65
67183.62,400.82,398.82,445.82,439.82
43558.53,475.29,316.29,597.29,267.29
49385.68,610.71,410.71,432.71,399.71
66154.37,577,299,434,174
48471.26,486.53,407.53,625.53,575.53
43787.71,968.35,560.35,802.35,719.35
44140.22,563.71,518.71,465.71,558.71
48995.94,745.41,683.41,846.41,751.41
65504.03,606.88,213.88,369.88,384.88
64671.37,463.76,460.76,267.76,431.76
47807.76,1057.47,717.47,717.47,638.47
69254.29,601.29,484.29,478.29,421.29
52616.29,205.29,135.29,446.29,159.29
62563.78,815,856,854,870
38344.99,848.53,707.53,657.53,813.53
65381.65,507.35,193.35,343.35,221.35
54800.87,466.76,430.76,226.76,319.76
51600.75,403.06,385.06,438.06,367.06
43795.41,509.94,354.94,495.94,423.94
52916.69,654.18,584.18,436.18,346.18
52291.97,576.29,575.29,782.29,489.29
58652.75,330,277,204,389
66055.44,618.24,417.24,289.24,320.24
53790.07,476.76,513.76,352.76,598.76
46013.74,652.12,385.12,349.12,323.12
53054.81,701.82,640.82,779.82,492.82
75083.24,758.82,480.82,523.82,700.82
68035.93,602,494,690,534
47947.85,799.88,492.88,411.88,653.88
56207.59,814.47,623.47,882.47,718.47
44700.41,584.24,569.24,576.24,613.24
57232.59,340.71,348.71,521.71,188.71
60541.84,944.18,681.18,881.18,833.18
62836.99,992.71,785.71,748.71,571.71
46329.6,576.12,403.12,503.12,359.12
65171.97,269.35,411.35,265.35,278.35
69224.15,622.06,421.06,494.06,323.06
47432.53,723.53,520.53,608.53,405.53
57762.03,610,418,675,530
61524.19,662.82,618.82,784.82,700.82
68829.54,388.06,395.06,539.06,224.06
69579.96,307.18,416.18,249.18,203.18
69948.76,818.12,646.12,697.12,594.12
63335.21,636.29,769.29,928.29,583.29
44281.21,542,525,339,285
59473.46,853.53,602.53,713.53,775.53
69422.18,568.06,196.06,428.06,357.06
48973.68,541.53,321.53,339.53,135.53
74557.47,398.71,321.71,562.71,292.71
64145.82,298.71,145.71,271.71,339.71
54745.24,319.29,489.29,630.29,519.29
56510.74,600.47,199.47,313.47,434.47
69791.63,487.94,371.94,477.94,566.94
60576.88,898.71,722.71,723.71,711.71
47196.34,618.53,491.53,388.53,563.53
66953.72,224.65,357.65,353.65,261.65
61220.13,468.94,303.94,434.94,511.94
52549.19,988.82,624.82,660.82,808.82
39183.88,331.47,229.47,295.47,173.47
54034.25,319.65,287.65,502.65,220.65
39158.94,205.29,239.29,320.29,82.29
49910.06,295,271,255,139
66334.38,496.71,410.71,363.71,317.71
59694.69,640.76,457.76,636.76,647.76
53939.13,954.59,635.59,777.59,815.59
48634.72,576.41,339.41,617.41,344.41
66098.53,516.12,389.12,665.12,547.12
67252.94,542.18,302.18,323.18,227.18
44185.04,954.18,513.18,645.18,780.18
69950.66,440.94,276.94,427.94,336.94
56466.35,805.59,626.59,696.59,671.59
41308.72,603,303,639,470
49095.03,786.88,774.88,758.88,798.88
63089.04,339.94,414.94,288.94,318.94
63853.31,608.65,480.65,374.65,411.65
57809.07,846.18,747.18,897.18,807.18
57801.6,691.88,677.88,593.88,519.88
46365.91,804.12,674.12,557.12,701.12
58421.99,888.88,735.88,928.88,602.88
72110.32,217.82,252.82,298.82,401.82
70797.38,431.18,153.18,359.18,299.18
66840.04,985,607,755,844
65354.34,628.12,406.12,461.12,525.12
67239.01,541.82,461.82,492.82,505.82
60544.56,582,238,410,317
65249.82,546.94,610.94,549.94,475.94
68596.85,537.76,519.76,681.76,466.76
61190.34,157,152,416,317
38604.34,584.53,354.53,533.53,304.53
69467.79,782.47,498.47,700.47,496.47
39608.24,737.47,544.47,536.47,640.47
47861.69,451.76,360.76,625.76,377.76
40755.24,557.35,586.35,388.35,539.35
64037.37,653.59,465.59,654.59,561.59
56563.49,673.88,684.88,940.88,875.88
56105.65,565,499,713,539
61305.91,375,408,309,364
45118.76,834.53,556.53,599.53,506.53
62420.32,786.59,639.59,604.59,595.59
39682.49,619.71,769.71,857.71,530.71
43067.03,645.06,397.06,500.06,315.06
74001.24,785.82,393.82,581.82,471.82
52670.46,803.12,593.12,613.12,644.12
62793.1,468.82,367.82,605.82,542.82
38981.25,532.88,436.88,748.88,732.88
48012.4,600.82,536.82,769.82,567.82
51943.84,727.18,673.18,507.18,542.18
41698.91,194.12,279.12,261.12,145.12
64473.68,475.59,392.59,337.59,261.59
72163.13,249.12,131.12,333.12,239.12
70356.88,415.47,261.47,444.47,434.47
66258.41,242.35,146.35,245.35,295.35
74150.29,770.94,650.94,896.94,634.94
54422.41,430.47,499.47,566.47,371.47
48816.6,697.06,330.06,466.06,289.06
45321.82,493.88,295.88,462.88,245.88
68422.96,796.76,406.76,802.76,611.76
63816,675.12,465.12,655.12,425.12
72847.94,766.29,730.29,854.29,641.29
50564.69,348.88,518.88,470.88,336.88
74095.75,871.29,433.29,811.29,483.29
63630.81,478.95,334.95,496.95,425.95
42573.52,772.4,594.4,491.4,465.4
72142.38,741.68,308.68,683.68,384.68
43466.78,617.04,340.04,553.04,362.04
42359.14,950.94,724.94,758.94,499.94
70275.19,812.73,671.73,433.73,551.73
54585.73,693.77,436.77,815.77,552.77
52611.56,729.9,650.9,834.9,834.9
44156.74,298.76,406.76,387.76,214.76
55209.67,477.16,441.16,577.16,647.16
50484.69,632.87,351.87,670.87,491.87
74640.4,524.21,242.21,446.21,234.21
59698.27,750.41,504.41,706.41,597.41
67923.12,629.59,633.59,635.59,709.59
62366.36,662.41,299.41,461.41,255.41
74045.92,715.45,659.45,708.45,452.45
60094.1,389.92,448.92,260.92,466.92
51141.38,582.79,281.79,548.79,222.79
60859.76,861.29,621.29,777.29,664.29
52125.49,799.67,607.67,567.67,731.67
74332.95,702.48,330.48,521.48,587.48
67319.71,242.66,371.66,433.66,362.66
40246.22,451.28,298.28,508.28,406.28
64113.22,737.29,587.29,869.29,719.29
67074.94,844.11,562.11,826.11,819.11
52125.12,727.48,391.48,776.48,652.48
41792.69,769.33,483.33,599.33,466.33
53583.58,539.73,309.73,335.73,117.73
63633.9,829.05,545.05,530.05,558.05
63795.53,612.77,499.77,478.77,562.77
48693.23,1271.86,844.86,951.86,884.86
50290.95,758.66,736.66,827.66,657.66
43154.59,843.5,652.5,869.5,589.5
74672.63,855.73,737.73,818.73,669.73
73930.88,698.41,658.41,740.41,693.41
40353.55,658.71,531.71,915.71,610.71
66012.32,1076.7,990.7,1177.7,985.7
60973.27,649.89,514.89,551.89,712.89
43971.36,873.7,712.7,788.7,821.7
52003.07,1045.26,741.26,987.26,720.26
43560.79,956.68,705.68,678.68,714.68
38522.04,1274.9,936.9,1196.9,1169.9
59950.65,1097.67,912.67,877.67,779.67
71599.59,968.99,589.99,799.99,779.99
70292.57,720.02,702.02,707.02,737.02
70276.02,1089.79,612.79,816.79,714.79
53857.05,996.73,634.73,1020.73,892.73
39351.79,904.58,836.58,1017.58,980.58
55964.09,1251.69,1015.69,1247.69,1145.69
62942.17,1026.55,809.55,1059.55,1081.55
57107.87,1038.41,808.41,902.41,979.41
43712.79,1168.22,747.22,867.22,966.22
