"network","program_type","start_year","Month_Name","Day","Day_of_the_Week"
"WESH","not news",2016,"Mar",1,"Tue"
"WDJT","news",2016,"Oct",28,"Fri"
"WPVI","news",2016,"Apr",5,"Tue"
"WISN","news",2016,"Oct",11,"Tue"
"WTMJ","news",2016,"Oct",22,"Sat"
"WFXT","news",2016,"Oct",27,"Thu"
"MSNBCW","news",2016,"Sep",2,"Fri"
"CNNW","news",2016,"Feb",29,"Mon"
"WBZ","not news",2016,"Oct",14,"Fri"
"WAVY","news",2016,"Feb",24,"Wed"
"WOIO","news",2016,"Sep",23,"Fri"
"WESH","news",2016,"Mar",11,"Fri"
"KLAS","news",2016,"Sep",22,"Thu"
"KFXA","not news",2016,"Jan",26,"Tue"
"KMGH","news",2016,"Sep",10,"Sat"
"KDTV","news",2016,"Feb",18,"Thu"
"WNCN","not news",2016,"Oct",22,"Sat"
"KCNC","not news",2016,"Nov",2,"Wed"
"WEWS","news",2016,"Aug",20,"Sat"
"KVVU","news",2016,"Feb",15,"Mon"
"WFXT","not news",2016,"Sep",21,"Wed"
"WTXF","news",2016,"Apr",19,"Tue"
"KGAN","not news",2016,"Sep",27,"Tue"
"WMUR","not news",2016,"Jan",20,"Wed"
"WRC","not news",2016,"Mar",2,"Wed"
"KLAS","news",2016,"Oct",29,"Sat"
"WTVT","news",2016,"Mar",10,"Thu"
"WNYW","not news",2016,"Apr",7,"Thu"
"WTXF","news",2016,"Apr",25,"Mon"
"WKMG","news",2016,"Feb",26,"Fri"
"WRC","news",2016,"Apr",25,"Mon"
"WOIO","news",2016,"Oct",4,"Tue"
"KTNV","news",2016,"Feb",13,"Sat"
"WHDH","news",2016,"Sep",20,"Tue"
"WLTX","not news",2016,"Jan",23,"Sat"
"WTVT","news",2016,"Oct",31,"Mon"
"WFXT","news",2015,"Nov",26,"Thu"
"WFLA","news",2016,"Sep",9,"Fri"
"KNTV","news",2016,"Oct",6,"Thu"
"KCAU","not news",2016,"Jan",25,"Mon"
"WRAL","news",2016,"Mar",14,"Mon"
"WRC","news",2016,"Nov",3,"Thu"
"WCAU","news",2016,"Sep",10,"Sat"
"WTXF","news",2016,"Oct",4,"Tue"
"WRAZ","not news",2016,"Oct",31,"Mon"
"WHDH","news",2016,"Jan",8,"Fri"
"KPHO","not news",2016,"Sep",12,"Mon"
"KPTH","not news",2016,"Jan",19,"Tue"
"WMUR","news",2016,"Feb",1,"Mon"
"KFXA","not news",2015,"Dec",18,"Fri"
"WMUR","news",2016,"Sep",22,"Thu"
"WLFL","not news",2016,"Oct",29,"Sat"
"KCRG","not news",2016,"Jan",26,"Tue"
"WMUR","not news",2016,"Oct",26,"Wed"
"WBZ","not news",2016,"Sep",16,"Fri"
"KSAZ","not news",2016,"Oct",19,"Wed"
"WMUR","not news",2016,"Oct",27,"Thu"
"WCAU","news",2016,"May",25,"Wed"
"WBZ","not news",2016,"Nov",5,"Sat"
"WBZ","news",2016,"Oct",5,"Wed"
"KRON","not news",2016,"Oct",14,"Fri"
"WRC","news",2016,"Mar",28,"Mon"
"WPVI","news",2016,"Aug",9,"Tue"
"WKYC","not news",2016,"Mar",14,"Mon"
"KVVU","not news",2016,"Oct",26,"Wed"
"WRAZ","not news",2016,"Oct",31,"Mon"
"WFLA","news",2016,"Aug",23,"Tue"
"KSNV","not news",2016,"Nov",1,"Tue"
"WHO","not news",2016,"Jan",28,"Thu"
"KMEG","news",2016,"Feb",1,"Mon"
"WCPO","news",2016,"Mar",10,"Thu"
"KTNV","news",2016,"Nov",8,"Tue"
"WCAU","news",2016,"Nov",2,"Wed"
"FOXNEWSW","news",2016,"Feb",18,"Thu"
"KVVU","not news",2016,"Oct",7,"Fri"
"WSET","not news",2016,"Feb",24,"Wed"
"WBZ","news",2016,"Feb",7,"Sun"
"KVVU","news",2016,"Oct",25,"Tue"
"CSPAN","news",2016,"Oct",31,"Mon"
"WTTG","news",2016,"Feb",23,"Tue"
"WRAL","news",2016,"Oct",24,"Mon"
"KGAN","news",2016,"Jan",3,"Sun"
"KNXV","not news",2016,"Aug",26,"Fri"
"WTXF","news",2016,"Apr",19,"Tue"
"KWWL","news",2016,"Oct",4,"Tue"
"KRXI","not news",2016,"Feb",18,"Thu"
"KWWL","not news",2016,"Jan",23,"Sat"
"WOLO","news",2016,"Feb",19,"Fri"
"KTNV","not news",2016,"Sep",16,"Fri"
"WTVT","not news",2016,"Sep",20,"Tue"
"WKRC","news",2016,"Mar",14,"Mon"
"WTOG","not news",2016,"Aug",28,"Sun"
"KSNV","news",2016,"Nov",8,"Tue"
"WRC","news",2016,"Apr",15,"Fri"
"KGAN","not news",2016,"Jan",29,"Fri"
"KSNV","not news",2016,"Oct",20,"Thu"
"WCVB","news",2016,"Aug",25,"Thu"
"KRNV","news",2016,"Jan",18,"Mon"
"KYW","not news",2016,"Nov",2,"Wed"
"WFTS","news",2016,"Sep",17,"Sat"
"WMUR","news",2015,"Dec",21,"Mon"
"WISN","news",2016,"Nov",7,"Mon"
"KPNX","not news",2016,"Sep",14,"Wed"
"KVVU","not news",2016,"Sep",21,"Wed"
"KWWL","news",2016,"Jan",31,"Sun"
"WEWS","news",2016,"Oct",26,"Wed"
"MSNBCW","news",2016,"Sep",15,"Thu"
"KTNV","news",2016,"Aug",5,"Fri"
"KTVN","not news",2016,"Feb",12,"Fri"
"WTTG","news",2016,"Mar",10,"Thu"
"KGAN","not news",2016,"Jan",28,"Thu"
"WFTS","not news",2016,"Mar",2,"Wed"
"KVVU","news",2016,"Sep",4,"Sun"
"WFTS","news",2016,"Oct",30,"Sun"
"KYW","news",2016,"Oct",17,"Mon"
"KTVN","news",2016,"Jan",15,"Fri"
"WTVD","news",2016,"Mar",14,"Mon"
"WTMJ","news",2016,"Oct",31,"Mon"
"WESH","news",2016,"Mar",14,"Mon"
"WRAZ","news",2016,"Oct",21,"Fri"
"KPTH","not news",2016,"Feb",1,"Mon"
"WIS","news",2016,"Feb",10,"Wed"
"WYFF","news",2016,"Jan",27,"Wed"
"WHDH","not news",2016,"Oct",17,"Mon"
"KTNV","news",2016,"Oct",18,"Tue"
"WIS","news",2016,"Feb",19,"Fri"
"WCAU","not news",2016,"Apr",24,"Sun"
"WACH","not news",2016,"Feb",17,"Wed"
"WFTV","news",2016,"Mar",3,"Thu"
"WIS","news",2016,"Feb",10,"Wed"
"WOIO","news",2016,"Feb",2,"Tue"
"KCAU","not news",2016,"Jan",20,"Wed"
"WCVB","news",2016,"Jan",12,"Tue"
"KTNV","news",2016,"Sep",24,"Sat"
"WJW","not news",2016,"Sep",16,"Fri"
"KDSM","not news",2016,"Jan",15,"Fri"
"WMUR","not news",2015,"Dec",29,"Tue"
"WFLA","not news",2016,"Sep",9,"Fri"
"WESH","news",2016,"Mar",10,"Thu"
"KSNV","news",2016,"Feb",12,"Fri"
"WTMJ","not news",2016,"Oct",24,"Mon"
"WOIO","news",2016,"Oct",26,"Wed"
"WOLO","news",2016,"Jan",14,"Thu"
"KMEG","news",2015,"Dec",28,"Mon"
"WJLA","not news",2016,"Apr",21,"Thu"
"KRXI","not news",2016,"Feb",11,"Thu"
"KTIV","news",2016,"Jan",15,"Fri"
"WOI","news",2016,"Jan",20,"Wed"
"KGO","not news",2016,"Jan",22,"Fri"
"KOLO","news",2016,"Feb",18,"Thu"
"FOXNEWSW","news",2016,"Sep",25,"Sun"
"KTVN","news",2016,"Feb",23,"Tue"
"WJLA","news",2016,"Apr",21,"Thu"
"WFXT","not news",2016,"Oct",26,"Wed"
"KSNV","news",2016,"Sep",16,"Fri"
"KCRG","news",2016,"Jan",31,"Sun"
"WCAU","news",2016,"Apr",7,"Thu"
"KVVU","news",2016,"Aug",29,"Mon"
"KUSA","news",2016,"Feb",11,"Thu"
"WTOG","not news",2016,"Oct",31,"Mon"
"KLAS","not news",2016,"Oct",28,"Fri"
"KCCI","news",2016,"Jan",2,"Sat"
"KVVU","not news",2016,"Sep",2,"Fri"
"WKRC","not news",2016,"Mar",14,"Mon"
"WMUR","news",2016,"Jan",6,"Wed"
"WRC","not news",2016,"Apr",12,"Tue"
"WTXF","not news",2016,"Mar",21,"Mon"
"WFTV","news",2016,"Mar",9,"Wed"
"KVVU","not news",2016,"Oct",1,"Sat"
"KPTH","not news",2016,"Jan",18,"Mon"
"WDJT","news",2016,"Oct",24,"Mon"
"KCCI","news",2015,"Dec",31,"Thu"
"WOIO","news",2016,"Oct",29,"Sat"
"KNXV","news",2016,"Oct",31,"Mon"
"WISN","news",2016,"Oct",19,"Wed"
"KTVN","news",2016,"Jan",12,"Tue"
"WITI","news",2016,"Nov",3,"Thu"
"KGAN","not news",2016,"Aug",23,"Tue"
"WCAU","news",2016,"Mar",31,"Thu"
"WIS","news",2016,"Feb",29,"Mon"
"WLTX","not news",2016,"Feb",17,"Wed"
"KSAZ","news",2016,"Sep",28,"Wed"
"KPNX","not news",2016,"Nov",7,"Mon"
"WSOC","news",2016,"Mar",12,"Sat"
"WHDH","news",2016,"Jan",29,"Fri"
"KTNV","not news",2016,"Nov",6,"Sun"
"WPVI","not news",2016,"Sep",27,"Tue"
"WCVB","news",2016,"Jan",12,"Tue"
"WFXT","news",2016,"Jan",6,"Wed"
"WACH","not news",2016,"Feb",12,"Fri"
"COM","not news",2016,"Oct",2,"Sun"
"WRAL","news",2016,"Sep",28,"Wed"
"WCVB","news",2016,"Feb",2,"Tue"
"KSNV","news",2016,"Oct",7,"Fri"
"WHDH","not news",2016,"Nov",8,"Tue"
"WFLA","news",2016,"Oct",2,"Sun"
"WTVT","news",2016,"Oct",15,"Sat"
"WITI","news",2016,"Nov",6,"Sun"
"WEWS","not news",2016,"Sep",28,"Wed"
"KCRG","news",2016,"Jan",22,"Fri"
"KVVU","not news",2016,"Oct",22,"Sat"
"WKYC","news",2016,"Feb",22,"Mon"
"WCAU","not news",2016,"Apr",22,"Fri"
"WTXF","news",2016,"Feb",25,"Thu"
"WCNC","not news",2016,"Mar",13,"Sun"
"WFTS","news",2016,"Oct",28,"Fri"
"KLAS","news",2016,"Oct",26,"Wed"
"WTVT","news",2016,"Sep",1,"Thu"
"KPTH","not news",2016,"Jan",26,"Tue"
"WMUR","news",2016,"Feb",8,"Mon"
"WJW","not news",2016,"Oct",11,"Tue"
"WBZ","news",2016,"Oct",30,"Sun"
"KCRG","news",2016,"Jan",8,"Fri"
"WCAU","news",2016,"Aug",24,"Wed"
"WTXF","news",2016,"Oct",22,"Sat"
"KSNV","news",2016,"Nov",7,"Mon"
"KCAU","not news",2016,"Jan",5,"Tue"
"WLTX","news",2016,"Feb",10,"Wed"
"WPLG","not news",2016,"Mar",1,"Tue"
"WVEC","news",2016,"Feb",22,"Mon"
"WLTX","news",2016,"Feb",17,"Wed"
"WACH","news",2016,"Jan",24,"Sun"
"WRC","news",2016,"Mar",3,"Thu"
"WOI","news",2015,"Dec",1,"Tue"
"WTKR","news",2016,"Feb",27,"Sat"
"WCPO","news",2016,"Mar",9,"Wed"
"CSPAN2","news",2016,"Sep",10,"Sat"
"WHDH","news",2016,"Oct",26,"Wed"
"WTSP","news",2016,"Oct",18,"Tue"
"KLAS","not news",2016,"Aug",25,"Thu"
"WPVI","not news",2016,"Mar",29,"Tue"
"WFXT","news",2015,"Dec",29,"Tue"
"WSOC","news",2016,"Mar",11,"Fri"
"WRC","not news",2016,"Apr",1,"Fri"
"KNXV","news",2016,"Nov",3,"Thu"
"KVVU","not news",2016,"Oct",15,"Sat"
"KLAS","news",2016,"Aug",11,"Thu"
"WJW","news",2016,"Sep",7,"Wed"
"KLAS","not news",2016,"Aug",18,"Thu"
"WTSP","news",2016,"Oct",22,"Sat"
"WOI","news",2016,"Jan",3,"Sun"
"WOIO","news",2016,"Mar",12,"Sat"
"KCRG","not news",2016,"Jan",10,"Sun"
"KPIX","news",2016,"Oct",30,"Sun"
"KVVU","news",2016,"Oct",6,"Thu"
"WISN","not news",2016,"Oct",19,"Wed"
"WFXT","news",2016,"Oct",31,"Mon"
"WTSP","news",2016,"Mar",15,"Tue"
"WFLA","news",2016,"Nov",2,"Wed"
"KYW","news",2016,"Sep",7,"Wed"
"KSNV","news",2016,"Sep",6,"Tue"
"KPNX","not news",2016,"Nov",3,"Thu"
"KUSA","news",2016,"Feb",25,"Thu"
"WOIO","news",2016,"Aug",17,"Wed"
"WFXT","news",2016,"Oct",3,"Mon"
"WRC","not news",2016,"Apr",14,"Thu"
"WFXT","news",2016,"Sep",22,"Thu"
"KVVU","news",2016,"Oct",13,"Thu"
"WTXF","not news",2016,"Apr",19,"Tue"
"KPNX","not news",2016,"Oct",30,"Sun"
"WJW","not news",2016,"Mar",13,"Sun"
"WDJT","news",2016,"Nov",2,"Wed"
"WPLG","news",2016,"Mar",6,"Sun"
"WOLO","news",2016,"Feb",10,"Wed"
"WUVP","news",2016,"Apr",25,"Mon"
"KVVU","news",2016,"Oct",6,"Thu"
"KCRG","news",2016,"Jan",3,"Sun"
"KGAN","news",2016,"Jan",26,"Tue"
"WITI","news",2016,"Oct",26,"Wed"
"KSNV","not news",2016,"Oct",3,"Mon"
"WPVI","news",2016,"Nov",2,"Wed"
"WITI","not news",2016,"Nov",8,"Tue"
"WHO","news",2016,"Jan",3,"Sun"
"WRAL","news",2016,"Sep",10,"Sat"
"WTVT","news",2016,"Mar",14,"Mon"
"WFTS","news",2016,"Sep",25,"Sun"
"WTMJ","news",2016,"Oct",14,"Fri"
"KNXV","news",2016,"Aug",25,"Thu"
"KTVU","news",2016,"Oct",7,"Fri"
"KCRG","news",2016,"Jan",28,"Thu"
"KMGH","news",2016,"Nov",7,"Mon"
"KTNV","news",2016,"Aug",25,"Thu"
"CNBC","news",2016,"Apr",27,"Wed"
"WFXT","news",2016,"Feb",1,"Mon"
"WCAU","news",2016,"Aug",26,"Fri"
"WPVI","news",2016,"Apr",13,"Wed"
"KDSM","not news",2016,"Jan",31,"Sun"
"KSNV","news",2016,"Oct",21,"Fri"
"KYW","not news",2016,"Oct",6,"Thu"
"WHDH","not news",2016,"Jan",21,"Thu"
"WCPO","news",2016,"Mar",4,"Fri"
"WJW","news",2016,"Mar",12,"Sat"
"KCAU","news",2015,"Dec",3,"Thu"
"WBZ","not news",2016,"Sep",15,"Thu"
"CNNW","news",2016,"Jul",6,"Wed"
"WOLO","news",2016,"Jan",26,"Tue"
"KVVU","news",2016,"Aug",27,"Sat"
"KTVN","news",2016,"Jan",16,"Sat"
"WHDH","news",2016,"Oct",6,"Thu"
"WKYC","news",2016,"Sep",1,"Thu"
"WIS","not news",2016,"Feb",8,"Mon"
"WHDH","news",2016,"Aug",17,"Wed"
"WEWS","news",2016,"Aug",30,"Tue"
"WFTS","not news",2016,"Sep",20,"Tue"
"KCAU","news",2016,"Jan",17,"Sun"
"KNTV","not news",2016,"Aug",11,"Thu"
"WMUR","not news",2016,"Sep",5,"Mon"
"KTNV","news",2016,"Oct",28,"Fri"
"KTVN","not news",2016,"Jan",16,"Sat"
"KSNV","not news",2016,"Feb",12,"Fri"
"KCRG","news",2016,"Jan",9,"Sat"
"KLAS","not news",2016,"Oct",12,"Wed"
"KGAN","news",2016,"Jan",29,"Fri"
"KYW","not news",2016,"Aug",25,"Thu"
"CNNW","news",2016,"Aug",22,"Mon"
"KTNV","news",2016,"Oct",26,"Wed"
"KLAS","not news",2016,"Oct",12,"Wed"
"WTMJ","news",2016,"Oct",28,"Fri"
"WRC","not news",2016,"Feb",25,"Thu"
"WBZ","news",2015,"Dec",22,"Tue"
"KTIV","news",2016,"Jan",27,"Wed"
"WACH","news",2016,"Feb",18,"Thu"
"KUSA","news",2016,"Nov",3,"Thu"
"KDSM","not news",2016,"Jan",28,"Thu"
"KSNV","news",2016,"Feb",19,"Fri"
"WCVB","not news",2016,"Sep",14,"Wed"
"WCVB","news",2016,"Oct",7,"Fri"
"WTMJ","news",2016,"Sep",2,"Fri"
"WMUR","not news",2015,"Dec",10,"Thu"
"KWWL","news",2016,"Feb",1,"Mon"
"WRAL","news",2016,"Feb",17,"Wed"
"WHDH","news",2016,"Nov",3,"Thu"
"WSPA","news",2016,"Jan",10,"Sun"
"KYW","news",2016,"Oct",18,"Tue"
"WCPO","news",2016,"Feb",23,"Tue"
"WOFL","not news",2016,"Mar",14,"Mon"
"WITI","news",2016,"Oct",23,"Sun"
"WITI","news",2016,"Nov",1,"Tue"
"WYFF","news",2016,"Jan",9,"Sat"
"CNNW","news",2016,"Sep",26,"Mon"
"KWWL","not news",2016,"Jan",21,"Thu"
"KYW","news",2016,"Nov",3,"Thu"
"WRAZ","news",2016,"Sep",5,"Mon"
"KMEG","not news",2016,"Jan",17,"Sun"
"KCCI","news",2016,"Jan",18,"Mon"
"WRAL","news",2016,"Aug",18,"Thu"
"WHO","news",2015,"Dec",24,"Thu"
"KCCI","not news",2015,"Dec",21,"Mon"
"KTVN","news",2016,"Feb",20,"Sat"
"KSAZ","not news",2016,"Oct",17,"Mon"
"WMUR","news",2015,"Nov",25,"Wed"
"WFTS","news",2016,"Oct",27,"Thu"
"KSNV","news",2016,"Nov",3,"Thu"
"WPVI","not news",2016,"Sep",16,"Fri"
"WTVJ","news",2016,"Mar",14,"Mon"
"WCAU","news",2016,"Sep",13,"Tue"
"WFTS","news",2016,"Sep",14,"Wed"
"WFLA","not news",2016,"Feb",19,"Fri"
"WJLA","not news",2016,"Apr",8,"Fri"
"WBZ","news",2016,"Jan",28,"Thu"
"WTVT","news",2016,"Oct",24,"Mon"
"WTVD","news",2016,"Jan",31,"Sun"
"FBC","news",2016,"Jun",9,"Thu"
"KTNV","not news",2016,"Sep",29,"Thu"
"KTNV","not news",2016,"Aug",9,"Tue"
"WBZ","not news",2016,"Jan",22,"Fri"
"WMUR","news",2016,"Jan",18,"Mon"
"KSNV","news",2016,"Oct",1,"Sat"
"KSNV","news",2016,"Sep",23,"Fri"
"KCCI","not news",2016,"Jan",23,"Sat"
"WMUR","not news",2016,"Sep",29,"Thu"
"KCCI","not news",2016,"Jan",4,"Mon"
"KSNV","not news",2016,"Oct",26,"Wed"
"WJW","not news",2016,"Aug",19,"Fri"
"WCAU","news",2016,"Jul",11,"Mon"
"WCVB","not news",2015,"Nov",21,"Sat"
"WOIO","news",2016,"Aug",23,"Tue"
"CNNW","news",2016,"Nov",1,"Tue"
"WBZ","news",2016,"Aug",21,"Sun"
"KCNC","not news",2016,"Jan",20,"Wed"
"WCAU","not news",2016,"Apr",19,"Tue"
"WCVB","news",2016,"Nov",3,"Thu"
"WFLA","news",2016,"Oct",31,"Mon"
"WRC","news",2016,"Apr",23,"Sat"
"WTVT","news",2016,"Sep",29,"Thu"
"WRC","news",2016,"Mar",30,"Wed"
"WMUR","news",2016,"Feb",4,"Thu"
"KTVN","news",2016,"Jan",18,"Mon"
"KUSA","news",2016,"Feb",17,"Wed"
"WMUR","not news",2015,"Dec",8,"Tue"
"WTXF","news",2016,"Oct",18,"Tue"
"WTVT","news",2016,"Mar",1,"Tue"
"KSNV","news",2016,"Oct",10,"Mon"
"WUSA","news",2016,"Apr",5,"Tue"
"WTMJ","news",2016,"Oct",27,"Thu"
"WCAU","not news",2016,"Sep",8,"Thu"
"WCAU","news",2016,"Oct",21,"Fri"
"WRAZ","not news",2016,"Mar",10,"Thu"
"WCAU","news",2016,"Oct",17,"Mon"
"KYW","not news",2016,"Oct",24,"Mon"
"WBZ","news",2015,"Dec",25,"Fri"
"KNXV","news",2016,"Oct",19,"Wed"
"WBZ","news",2016,"Sep",24,"Sat"
"WISN","news",2016,"Nov",1,"Tue"
"WHO","news",2016,"Jan",27,"Wed"
"WESH","news",2016,"Mar",15,"Tue"
"KSNV","news",2016,"Sep",14,"Wed"
"WJW","news",2016,"Feb",27,"Sat"
"WNCN","news",2016,"Sep",14,"Wed"
"WFXT","not news",2016,"Sep",14,"Wed"
"WLWT","news",2016,"Mar",14,"Mon"
"KPHO","not news",2016,"Oct",20,"Thu"
"WLTX","news",2016,"Feb",6,"Sat"
"WTVT","news",2016,"Sep",22,"Thu"
"WMUR","news",2016,"Sep",21,"Wed"
"WKMG","not news",2016,"Mar",12,"Sat"
"WLFL","not news",2016,"Sep",8,"Thu"
"WOIO","news",2016,"Oct",30,"Sun"
"WHDH","news",2016,"Sep",3,"Sat"
"KYW","news",2016,"Nov",7,"Mon"
"WTMJ","news",2016,"Nov",7,"Mon"
"WHO","news",2016,"Jan",18,"Mon"
"WCAU","news",2016,"Aug",10,"Wed"
"KYW","not news",2016,"Oct",13,"Thu"
"WTMJ","news",2016,"Sep",11,"Sun"
"KLAS","news",2016,"Oct",30,"Sun"
"WDJT","not news",2016,"Nov",4,"Fri"
"WMUR","not news",2016,"Jan",29,"Fri"
"KTIV","not news",2016,"Jan",14,"Thu"
"KTIV","news",2016,"Jan",15,"Fri"
"WRAZ","not news",2016,"Aug",31,"Wed"
"FBC","not news",2016,"Jan",1,"Fri"
"WKYC","news",2016,"Mar",1,"Tue"
"WFTS","news",2016,"Aug",25,"Thu"
"WKYC","not news",2016,"Sep",6,"Tue"
"MSNBCW","news",2016,"Feb",12,"Fri"
"WJW","news",2016,"Mar",7,"Mon"
"WBZ","not news",2016,"Jan",15,"Fri"
"KPHO","news",2016,"Aug",14,"Sun"
"KOLO","not news",2016,"Jan",18,"Mon"
"WPVI","news",2016,"Oct",10,"Mon"
"WISN","news",2016,"Oct",17,"Mon"
"WTSP","not news",2016,"Oct",19,"Wed"
"KLAS","news",2016,"Jan",23,"Sat"
"KCCI","news",2016,"Jan",7,"Thu"
"KLAS","not news",2016,"Sep",20,"Tue"
"WMUR","news",2016,"Jan",5,"Tue"
"WHDH","news",2016,"Sep",9,"Fri"
"WHDH","news",2016,"Jan",18,"Mon"
"WDJT","news",2016,"Nov",3,"Thu"
"KCRG","not news",2016,"Jan",22,"Fri"
"KCNC","not news",2016,"Nov",4,"Fri"
"WESH","news",2016,"Mar",14,"Mon"
"KVVU","not news",2016,"Oct",13,"Thu"
"WYFF","news",2016,"Feb",17,"Wed"
"KTNV","not news",2016,"Sep",13,"Tue"
"MSNBCW","news",2016,"Feb",23,"Tue"
"WHO","not news",2016,"Jan",26,"Tue"
"WUVP","not news",2016,"Jul",3,"Sun"
"KTNV","news",2016,"Sep",10,"Sat"
"KTNV","news",2016,"Aug",24,"Wed"
"KGAN","not news",2015,"Dec",22,"Tue"
"WMUR","not news",2016,"Jan",13,"Wed"
"KTNV","news",2016,"Jan",27,"Wed"
"WCAU","news",2016,"Apr",20,"Wed"
"WPVI","not news",2016,"Apr",25,"Mon"
"KCRG","news",2016,"Jan",23,"Sat"
"KCCI","news",2016,"Jan",26,"Tue"
"KGAN","not news",2016,"Jan",21,"Thu"
"KYW","not news",2016,"Oct",5,"Wed"
"WLOS","news",2016,"Feb",20,"Sat"
"WFXT","news",2016,"Jan",20,"Wed"
"WTXF","news",2016,"Oct",11,"Tue"
"KPHO","news",2016,"Sep",20,"Tue"
"WTSP","news",2016,"Oct",20,"Thu"
"KTNV","news",2016,"Feb",12,"Fri"
"WBZ","not news",2015,"Dec",3,"Thu"
"WIS","not news",2016,"Feb",18,"Thu"
"WPVI","not news",2016,"Sep",18,"Sun"
"WRAL","news",2016,"Sep",12,"Mon"
"KDSM","news",2016,"Jan",18,"Mon"
"KWWL","news",2015,"Dec",27,"Sun"
"KYW","news",2016,"Mar",22,"Tue"
"KSTS","not news",2016,"May",18,"Wed"
"KCRG","news",2015,"Dec",31,"Thu"
"KNTV","news",2016,"Oct",19,"Wed"
"WFTS","news",2016,"Oct",24,"Mon"
"KPIX","not news",2016,"Aug",17,"Wed"
"WEWS","not news",2016,"Sep",4,"Sun"
"WHDH","not news",2016,"Aug",26,"Fri"
"WCNC","not news",2016,"Mar",13,"Sun"
"WLTX","not news",2016,"Feb",17,"Wed"
"KTNV","not news",2016,"Nov",4,"Fri"
"WMUR","news",2016,"Oct",21,"Fri"
"KTNV","not news",2016,"Oct",6,"Thu"
"WNCN","not news",2016,"Oct",21,"Fri"
"WMUR","news",2016,"Feb",5,"Fri"
"WTTG","not news",2016,"Apr",19,"Tue"
"KVVU","news",2016,"Feb",4,"Thu"
"WNCN","news",2016,"Aug",25,"Thu"
"KUSA","not news",2016,"Feb",12,"Fri"
"WMUR","news",2016,"Jan",19,"Tue"
"WBZ","news",2016,"Oct",26,"Wed"
"KCAU","news",2015,"Dec",24,"Thu"
"WMUR","news",2015,"Dec",13,"Sun"
"KDVR","not news",2016,"Sep",5,"Mon"
"WKMG","not news",2016,"Feb",9,"Tue"
"KGAN","news",2016,"Sep",30,"Fri"
"KVVU","not news",2016,"Feb",19,"Fri"
"WFOR","news",2016,"Feb",24,"Wed"
"KLAS","news",2016,"Oct",3,"Mon"
"KTNV","news",2016,"Jan",9,"Sat"
"WTMJ","news",2016,"Oct",20,"Thu"
"KSNV","news",2016,"Sep",28,"Wed"
"KWWL","news",2016,"Jan",14,"Thu"
"WHO","not news",2016,"Jan",29,"Fri"
"WMUR","not news",2016,"Sep",26,"Mon"
"WTVT","news",2016,"Mar",14,"Mon"
"WBZ","news",2016,"Sep",17,"Sat"
"WEWS","not news",2016,"Oct",25,"Tue"
"WSLS","news",2016,"Feb",6,"Sat"
"KUSA","news",2016,"Aug",31,"Wed"
"WCAU","news",2016,"Nov",5,"Sat"
"KWWL","news",2015,"Dec",24,"Thu"
